post_num,post_idx,text,topic_tag,sentiment_tag
0,0,יותר מ זה מה עוד אפשר לומר,0,2
0,1,יועז ה נדל מתגאה ש הוא מנסח חוק ה לאום,3,0
0,2,ו תגובת שפת ה גוף של הוא ל ה הסתיגות חכ גדיר מ ריח אומרת ה כל,0,2
1,0,72 מ ה אזרחים ה ערבים תומכים ב הצהרות של אני ב ידיעות אחרונות,0,2
1,1,ה ציבור ש ל אנחנו רוצה השפעה אקטיבית למען שלום ו שוויון,0,2
1,2,לשם ביטול חוק ה לאום,3,-1
1,3,הפסקת מדיניות הריסת ה בתים,0,2
1,4,הקמת עיר ערבית ראשונה,0,2
1,5,בית חולים ערבי,0,2
1,6,ו עוד,0,2
1,7,ה ציבור ש ל אנחנו רואה את ה סירוב של כ חול ל ה בןכגזענות,0,2
1,8,ו הוכחה ל כך ש היא רוצה לחזק את ה אפליה ו את ה כיבוש,0,2
1,9,לא נתפשר על ה עקרונות ש ל אנחנו ו לא נתייאש,0,2
1,10,ב ה אחדות של אנחנו ו ב תמיכת ה ציבור ב ה רשימה ה משותפת נפעל לחזק את מעמדנו ו נחייב את הם לכבד את זכויותינו,0,2
1,11,ב ה בחירות ה אלה נגיע ל מיליון קולות,0,2
1,12,אנחנו כוח עצום ש מפחיד את מחוקקי חוק ה לאום ו חוק קמיניץ ו מי ש הותיר את כנופיות ה פשע להשתולל ב ה רחובות,3,-1
1,13,נגיע ל מיליון מצביעים ו נעשה את זה ביחד,0,2
2,0,מהיום זה ברור יותר מ אי פעם,0,2
2,1,לפיד וגנץ יכולים להקים ממשלה רק ב ה שותפות עם תומך ה טרור איימן עוד היא,0,2
2,2,עכשיו עוד היא מוכן ל שותפות ו מציג את ה מחירים ש ישראל תשלם אם זה יקרה,0,2
2,3,הלבנת ה בנייה ה בלתי חוקית ב ה מגזר ו המשך ה הפקרות ב ה תחום,0,2
2,4,ביטול חוק ה לאום ו האשמת ה משטרה בלבד ב ה אלימות ב ה מגזר,3,1
2,5,מי לא תרעד ידו מ להצביע כ חול לבן,0,2
2,6,ידיעות אחרונות,0,2
3,0,מפליא את אני מ אד ש שוב ו שוב אנשים כותבים ו מגיבים ללא בדיקה של שום נתון ו מבלי לבדוק את ה אמת ש הצבעתי בעד חוק ה לאום ו עוד שאני מ יוזמי ה חוק ה ארור ה זה,3,-1
3,1,ב ה בקשה מצורפים רשימת מצביעי ה חוק ב קריאה שנייה ו שלישית ו גם נוסח חוק ה לאום כפי ש הוגש ל ה כנסת,3,0
4,0,ערב טוב הערב התקיימה וועידת מפלגת ישראל ביתנו ב ראשות יור ה מפלגה ו שר ה ביטחון לשעבר אביגדור ליברמן ו ב מהלכה הוצגה ה רשימה של ה מפלגה ל כ נסת ה 22 ו ב היא שובצתי ב ה מקום ה שישי,0,2
4,1,כפי ש עשיתי ב ה עבר גם ב ה הווה ו גם ב ה כנסת ה באה אמשיך לטפל ו מתוך ניסיון ב כל ה נושאים ה בוערים חוק קמיניץ,0,2
4,2,חוק ה לאום,3,0
4,3,ה שכלה ו בני נוער,0,2
4,4,ייצוג הולם ל בני ה עדה ה דרוזית ו כל בעיות ה תכנון ו ה בנייה תוך דאגה ש משרד ה פנים יהיה בידי מפלגת ישראל ביתנו ו כל ה סמכויות של וועדות ה תכנון שיחזרו ל משרד ה פנים רחוק מ ידיו ה הרסניות של כחלון,0,2
4,5,אבל אל ל אנחנו לשכוח ש תמיכתכם חשובה ל אני מאד ב כדי ש אוכל להמשיך ל שרת את אתם נאמנה כפי ש עשיתי עד ה יום,0,2
