post_num,post_idx,text,topic_tag,sentiment_tag
0,0,השבוע התקבלה החלטה מ ה חשובות ל ה בטחון ישראל,0,2
0,1,טראמפ הכריז על פרישה מ הסכם ה גרעין,1,1
0,2,וישראל פעלה ב ה סוריה כדי למנוע התבססות איראנית ב ה חזית ה צפונית,0,2
0,3,צפו ב ה דברים ש אמרתי ב ה נושאים ה אלה ל,0,2
0,4,תכנית ה דגל של ה,0,2
0,5,אני מברכת את ראש ממשלת ישראל ב נימין נתניהו,2,1
0,6,ש מנהל מערכה עיקשת נגד איראן ל ה מעלה מ 15 שנה,2,0
0,7,ש בת שלום,0,2
0,8,ו תודה ל כל ה לוחמים ש ל אנחנו ש שומרים על ה גבולות ש ל אנח,0,2
1,0,שידור חי,0,2
1,1,פגישת ראש ה ממשלה בנימין נתניהו ו נשיא ארהב דונלד טרא,2,0
2,0,ה ממשלה ה באה תצטרך להתמודד עם גרעון חמור ש ממשלת נתניהו מובילה אל הוא,2,-1
2,1,נתניהו ו כחלון מתכננים לכסות את בור מיליארדי ה שקלים על ידי גזירות כלכליות קשות העלאת מיסים,2,-1
2,2,קיצוץ ב ה שירותים ה חברתיים ה חשובים ביותר,2,-1
2,3,ביטול התחייבויות ו עוד,2,0
2,4,ב ה עלי עסקים,0,2
2,5,זוגות צעירים,0,2
2,6,מעמד ה ביניים ה משבר ה זה יפגע ב ה כולנו,0,2
2,7,רק כיפת ברזל חברתית,0,2
2,8,ה תכנית ה כלכלית של ה עבודה גשר,0,2
2,9,תגן על אזרחי ישראל מ ה גזירות ש ב ה דרך,0,2
2,10,תוביל ל צמצום ה פערים ב ישראל ו ל צמיחה ב ה משק כי אצל אנחנו בני אדם לפני ה ,0,2
3,0,גם דוברי ה רוסית מצביעים ה ליכוד,2,1
3,1,בפני קהל מדהים של 2,0,2
3,2,000 איש ב ה בת ים,0,2
3,3,ליכוד אחד גדול מול כל ה שמאל,2,1
3,4,מפלגת ה ליכוד ב ה נימין נתני,2,0
4,0,שוב שקר של נתניהו,2,0
4,1,מי ש עשה דיל עם איימן עודה ל פיזור הכנסת מעליל עלילות שקר,2,-1
4,2,כל עוד ה מפלגות ה ערביות לא מכירות ב מדינת ישראל כ ה יהודית ו דמוקרטית לא נשב עם הן ב ה קואליציה,0,2
