author,party,date,text,topic_tags,sentiment_tags
חמד עמאר,ישראל ביתנו,"27 באוגוסט 2019, 13:07","['יותר מ זה מה עוד אפשר לומר', 'יועז ה נדל מתגאה ש הוא מנסח חוק ה לאום', 'ו תגובת שפת ה גוף של הוא ל ה הסתיגות חכ גדיר מ ריח אומרת ה כל']","[0, 3, 0]","[2, 0, 2]"
איימן עודה,"חד""ש-תע""ל","26 באוגוסט 2019, 17:05","['72 מ ה אזרחים ה ערבים תומכים ב הצהרות של אני ב ידיעות אחרונות', 'ה ציבור ש ל אנחנו רוצה השפעה אקטיבית למען שלום ו שוויון', 'לשם ביטול חוק ה לאום', 'הפסקת מדיניות הריסת ה בתים', 'הקמת עיר ערבית ראשונה', 'בית חולים ערבי', 'ו עוד', 'ה ציבור ש ל אנחנו רואה את ה סירוב של כ חול ל ה בןכגזענות', 'ו הוכחה ל כך ש היא רוצה לחזק את ה אפליה ו את ה כיבוש', 'לא נתפשר על ה עקרונות ש ל אנחנו ו לא נתייאש', 'ב ה אחדות של אנחנו ו ב תמיכת ה ציבור ב ה רשימה ה משותפת נפעל לחזק את מעמדנו ו נחייב את הם לכבד את זכויותינו', 'ב ה בחירות ה אלה נגיע ל מיליון קולות', 'אנחנו כוח עצום ש מפחיד את מחוקקי חוק ה לאום ו חוק קמיניץ ו מי ש הותיר את כנופיות ה פשע להשתולל ב ה רחובות', 'נגיע ל מיליון מצביעים ו נעשה את זה ביחד']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]","[2, 2, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, -1, 2]"
גלעד ארדן,הליכוד,"22 באוגוסט 2019, 06:47","['מהיום זה ברור יותר מ אי פעם', 'לפיד וגנץ יכולים להקים ממשלה רק ב ה שותפות עם תומך ה טרור איימן עוד היא', 'עכשיו עוד היא מוכן ל שותפות ו מציג את ה מחירים ש ישראל תשלם אם זה יקרה', 'הלבנת ה בנייה ה בלתי חוקית ב ה מגזר ו המשך ה הפקרות ב ה תחום', 'ביטול חוק ה לאום ו האשמת ה משטרה בלבד ב ה אלימות ב ה מגזר', 'מי לא תרעד ידו מ להצביע כ חול לבן', 'ידיעות אחרונות']","[0, 0, 0, 0, 3, 0, 0]","[2, 2, 2, 2, 1, 2, 2]"
חמד עמאר,ישראל ביתנו,"7 באוגוסט 2019, 05:39","['מפליא את אני מ אד ש שוב ו שוב אנשים כותבים ו מגיבים ללא בדיקה של שום נתון ו מבלי לבדוק את ה אמת ש הצבעתי בעד חוק ה לאום ו עוד שאני מ יוזמי ה חוק ה ארור ה זה', 'ב ה בקשה מצורפים רשימת מצביעי ה חוק ב קריאה שנייה ו שלישית ו גם נוסח חוק ה לאום כפי ש הוגש ל ה כנסת']","[3, 3]","[-1, 0]"
חמד עמאר,ישראל ביתנו,"30 ביולי 2019, 18:47","['ערב טוב הערב התקיימה וועידת מפלגת ישראל ביתנו ב ראשות יור ה מפלגה ו שר ה ביטחון לשעבר אביגדור ליברמן ו ב מהלכה הוצגה ה רשימה של ה מפלגה ל כ נסת ה 22 ו ב היא שובצתי ב ה מקום ה שישי', 'כפי ש עשיתי ב ה עבר גם ב ה הווה ו גם ב ה כנסת ה באה אמשיך לטפל ו מתוך ניסיון ב כל ה נושאים ה בוערים חוק קמיניץ', 'חוק ה לאום', 'ה שכלה ו בני נוער', 'ייצוג הולם ל בני ה עדה ה דרוזית ו כל בעיות ה תכנון ו ה בנייה תוך דאגה ש משרד ה פנים יהיה בידי מפלגת ישראל ביתנו ו כל ה סמכויות של וועדות ה תכנון שיחזרו ל משרד ה פנים רחוק מ ידיו ה הרסניות של כחלון', 'אבל אל ל אנחנו לשכוח ש תמיכתכם חשובה ל אני מאד ב כדי ש אוכל להמשיך ל שרת את אתם נאמנה כפי ש עשיתי עד ה יום', 'ו כש ה מפלגה חזקה ה עדה עוד יותר חזקה']","[0, 0, 3, 0, 0, 0, 0]","[2, 2, 0, 2, 2, 2, 2]"
חמד עמאר,ישראל ביתנו,"28 ביולי 2019, 17:22","['היה ל אני ה כבוד ה ערב להתארח ב ביתו של אחינו אבו עלאא יוסף כ נעאן ב כפר ירכא ל חוג בית לקראת ה בחירות ה קרובות', 'ב חוג ה בית הצגתי את עמדתי ו את עמדת ה מפלגה ב עניין חוק ה לאום', 'חוק קמיניץ', 'שקד ו כחלון', 'ב ה כנסת ה קודמת העליתי חוק ל ביטול חוק ה לאום ב כ ה נסת', 'חוק ש נפל לאחר ש כל מפלגות ה קואלציה הצביעו נגד הוא', 'ב ה חוק העליתי גם את חשיבות משרד ה פנים ו עד כמה חשוב ש יהיה בידי ישראל ביתנו תוך כדי החזרת כל ה סמכויות של ה תכנון ו ה בניה לאחר כישלונו של כחלון ב ה טיפול ב ה נושא מה ש גרם לראשונה מ אז קום ה מדינה ל הרס בתים ב ה כפרים ה דרוזים', 'ל ה קנסות ו ל ה עוול', 'זכותנו לבנות על ה אדמות ה פרטיות ש ל אנחנו', 'זכותנו לחיות ב ה כבוד']","[0, 3, 0, 0, 3, 3, 3, 3, 0, 0]","[2, 0, 2, 2, -1, 0, 0, 0, 2, 2]"
חמד עמאר,ישראל ביתנו,"22 ביולי 2019, 19:25","['אנחנו זוכרים את כל ה הבטחות ב עניין חוק ה לאום ו יודעים בדיוק איפה כל זה עומד', 'מ פלגה חזקה', 'עדה חזקה']","[3, 0, 0]","[-1, 2, 2]"
עמיר פרץ,העבודה,"6 ביולי 2019, 19:28","['היום התחלנו את קמפיין ה שותפות של אנחנו', 'קמפיין ש לא יגמר ב ה יום לאחר ה בחירות כי כש אני מדבר עם אחיי ו אחיותיי ה ערבים ו ה דרוזים', 'אני מדבר עם שותפים מלאים ל ה מדינה את היא אנחנו רוצים להשאיר ל ה ילדינו ו נכדינו', 'ישראל ב היא חוק ה לאום ה גזעני יבוטל זאת התחייבות', 'ישראל ב היא ה שוויון הוא לא רק סיסמא הוא תכנית עבודה', 'ישראל ב היא צדק חברתי ב ה מובן ה רחב ביותר', 'כפי ש מגיע ל כל אזרח ב ה מדינה זאת משימה את היא אני אשלים', 'ה שותפות ו ברית ה חיים של אנחנו', 'אזרחי ה מדינה ה יהודים ו ה ערבים', 'ה מוסלמים', 'ה נוצרים', 'ה צרקסים', 'ב ה דואים ו ה דרוזים', 'תקרום עור ו גידים ו תהיה מורגשת ב כל צעד', 'שבוע טוב', 'מטמרה ו מ בית גן']","[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
איימן עודה,"חד""ש-תע""ל","16 ביוני 2019, 18:41","['ראש עיריית עפולה ב עצמו מפגין נגד מכירת בתים ל אזרחים ערבים', 'ה חממה ש ממנה יצאו מחוקקי חוק ה לאום היא את היא חממה גזענית ש גידלה את ה ימין ה גזעני ב עפולה ו ראש ה עיר של היא', 'פניתי ל ה יועץ ה משפטי ל ה ממשלה ב ה דרישה לפתוח ב חקירה פלילת נגד ראש ה עיר בגין הסתה ל גזענות ו ל אלימות נגד ה אזרחים ה ערבים', 'הקשיבו ל מה ש אמר חכ עופר כ ה סיף ב ה סרטון']","[0, 3, 0, 0]","[2, -1, 2, 2]"
אלי בן-דהן,הליכוד,"13 ביוני 2019, 05:46","['ב יום שלישי ה אחרון התארחתי ב אוניברסיטת בר אילן ב ה כנס ב נושא חוק ה לאום', 'חוק ה לאום הוא חוק מצויין', 'הוא מכסה על פרצות ש התגלו ב מהלך ה שנים ו נוצלו על ידי גורמים כ ה אלו ו אחרים ש רוצים לקעקע את זהותה של מדינת ישראל כ מדינת ה לאום של ה עם ה יהודי', 'ב ה מבט לאחור', 'כל ה עליהום ש היה על מחוקקי ה חוק הוא עליהום מיותר ו מנותק מ ה מציאות', 'מעבר ל ה עובדה ש ב מהלך כל ה דיונים ב ה ועדות לא נכחו כל את הם מתנגדים', 'ש צצו אחרי ש עבר ה חוק ב קריאה שנייה ו שלישית', 'ב ה נוסף', 'הפייק ניוז ש הופצו לפי הם ה חוק יפגע ב אחינו מ ה מגזר ה דרוזי התגלו ב מהלך ה שנה כשקר גמור אף חוק לא נחקק ו שום דבר לא קודם נגד ה מגזר ה דרוזי', 'ל ה הפך', 'ה מחוייבות רק גדלה ו ברית ה חיים בין אנחנו לבין הם רק התחזקה', 'ב ה עיניי', 'ה מסקנה ה מתבקשת היא ש להגדיל את ה להבות על כלום ו שום דבר', 'לא משרת אף אחד ב שום מצב', 'כל דיון ב מדינת ישראל צריך להתנהל על מי מנוחות ו לא לכלול הטחות רפש הדדיות', 'מדינתנו ה קטנה מלאה ב ה מאבקים ל אורך כל שנות קיומה', 'אין שום סיבה ש נאבק גם בתוך אנחנו']","[3, 3, 3, 0, 3, 3, 3, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 2, 1, 0, 0, 2, 1, 2, 0, 2, 2, 2, 2, 2, 2]"
איימן עודה,"חד""ש-תע""ל","11 ביוני 2019, 09:04","['אוהדי ב יתר ירושלים ה גזענים מבקשים מ שחקן לשנות את ה שם של הוא כדי להתקבל ל ה קבוצה', 'אנו לא חוששים על ה שם מוחמד', 'ש היה לפני ב ה יתר ו יישאר אחרי הוא', 'שלחתי מכתב ל שרת ה תרבות ו ה ספורט', 'ל שר ה משפטים ו ל התאחדות ה כדורגל', 'לקרוא ל הם לשים קץ ל ה התנהגות ו ל ה התבטאויות ה גזעניות של מועדון ה אוהדים של ב ה יתר', 'ו למנוע השתתפות ה קהל ב ה משחקים של ביתר עד ש יתנצלו ו יחזרו ב ה הם מ דבריהם', 'אנו יודעים ש ה בעיה ה עיקרית היא ב ה ממשלה', 'ממשלת חוק ה לאום', 'אך אנו נלחמים ב ה השלכות של ה גזענות ה זו', 'אני מתחייב לעקוב אחרי ה נושא עד ש ינקטו צעדים נגד ארגוני ה שנאה', 'ה הסתה תוביל ל ה רצח']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 0, -1, 2, 2]"
