post_num,post_idx,text,topic_tag,sentiment_tag
10,1,את הוא זנחה ב עצימת עיניים ב שמונה שנות ממשל אובמה קרי,0,2
140,8,ה אנשים ש במו ידיהם בנו את ה מדינה ה זו ו הפכו את ישראל ל הצלחה כלכלית ענקית,0,2
204,10,ב ה אחדות של אנחנו ו ב תמיכת ה ציבור ב ה רשימה ה משותפת נפעל לחזק את מעמדנו ו נחייב את הם לכבד את זכויותינו,0,2
29,9,ו לא מנהיג ש מתחנן ש יעשו ל אנחנו טוב,0,2
132,6,מ חל,0,2
55,1,הבענו את עמדתנו ה ייחודית כ ה כוח ה שלישי ב גודלו ב כ ה נסת,0,2
141,5,שרה נתניהו,0,2
220,4,ה ליכוד,0,2
219,3,הוא הציע,0,2
214,12,ה מקום הכי חם ב גהינום שמור ל מי ש ב זמנים של משבר מוסרי שומר על נייטרליות,0,2
229,10,לצד אני ב ה סרטון,0,2
99,1,שמונה שנים לאחר ש נבחר ה נשיא ה שחור ה ראשון להוביל את ה עולם ה חופשי,0,2
109,0,ב בחירות 92 הימין לא היה מאוחד,0,2
68,0,ב ה ראיון עם אודי סגל ו ל וסי אהריש ב ה ערוץ 13,0,2
110,6,אנו יכולים להעיף את ה,0,2
190,2,לאחר ה בחירות,0,2
67,5,מדובר ב אינטרס ה ביטחוני,0,2
220,13,אחיי ה דרוזים,0,2
99,23,דרך ארוכה עוד לפני אנחנו,0,2
125,26,ספגתי עלבונות אישיים קשים מאוד על כך,0,2
100,2,וישראל פעלה ב ה סוריה כדי למנוע התבססות איראנית ב ה חזית ה צפונית,0,2
38,6,ה הכרה היא בגדר עובדה מוגמרת ו כך גם ה יישוב ש עומד ל ה היות מוקם,0,2
135,8,ל ה כתבה ה מלאה על ה הטבות ה מפליגות ל ה אסירים ב ה יטחונ,0,2
127,4,כי כחול ו לבן הוא ה צבע של אני ו של כל עם ישראל,0,2
292,3,למרות זאת,0,2
134,14,גם מסקנה פוליטית,0,2
43,6,על הרבה פחות מ זה אובאמה,0,2
231,14,את ה כיוון ה זה בדיוק עלינו לשנות,0,2
