post_num,post_idx,text,topic_tag,sentiment_tag
125,20,אני מלווה את בנימין נתניהו ל ה מעלה מ 23 שנה,2,1
133,0,נתניהו פחדן,2,-1
139,4,מציבה את ישראל פעם אחר פעם ב צמרת ה מעצמות ה חזקות ב ה עולם,2,1
167,21,אם ל ה אלוביץ הוא היה מוכן לשלם מיליארד שקל בשביל כמה כותרות חיוביות,2,-1
184,1,הצטרפו ל נאום ראש ה ממשלה נתניהו ב כנס ה ליכוד,2,0
200,8,על כל ה מציאות ה מורכבת ש ב היא,2,0
120,23,תפעיל לחץ על ה מפלגות ה חרדיות לעמוד ב ה סיכום ה מקורי מ ה קדנציה ה קודמת ו להשלים את חקיקת חוק ה גיוס ב קריאה שניה ו שלישית ב ה אותו נוסח בדיוק כפי ש עבר ב קריאה ראשונה,2,0
167,13,אתם באמת חושבים ש כל ה טוב ה זה נופל על נתניהו ב חינם,2,-1
109,6,רק פתק אחד מ בטיח הקמת ממשלה לאומית ב ראשות בנימין נתניהו מחל,2,1
167,12,כדי ש נתניהו לא יצטרך לעמוד ל ה משפט,2,-1
156,5,נמליץ ל ה נשיא רק על ראש ה ממשלה ב ה נימין נתניהו,2,1
67,3,ממשלה ישראלית אחראית היתה מקדמת ב עצמה תכנית ש לום להיפרד ל שתי מדינות,2,-1
186,4,אז עד ל רגע זה לא הוציא נתניהו צו הריסה ל בית ה רוצח של אורי זל,2,-1
135,0,כתבתו של ירון אברהם היום ב ה מהדורה ה מרכזית מעידה ש אין גבול ל ה טירוף ש מאפשרת מ משלת נתניהו,2,-1
200,9,מעוררת ה ערכה,2,1
105,0,האם אמסלם מתחיל לשרטט ב שם אדונו נתניהו את ה מתווה ה מסתמן מול כתבי ה אישום ה צפויים כנגד רהמ בעוד 3 חודשים,2,0
105,6,מגיע ל אזרחי ישראל מערכת פוליטית נקייה מ שחיתות פוליטית ש פוגעת ב ה הם ו משרתת אינטרסים זר,2,-1
151,1,דווקא כיוון ש ידעתי ש ל ראש ה ממשלה בנימין נתניהו יש היסטוריה מתמשכת של כניעה ל ה טרור,2,-1
196,2,ה פאניקה מ אובדן ה שלטון ב ה עתיד יצרה אובדן עשתונות ב ה הווה ו את ה טירוף ה זה צריך לעצור לפני ש ישרוף את ה בית על אנחנו ו על הוא,2,-1
166,0,חלאס ל ה שלטון נתניהו,2,-1
131,0,ה בוקר ב ה אולפן הסברתי שוב כי עמיר ו אני לא נסכים לשבת ב ה ממשלה ב ה ראשות נתניהו,2,-1
176,6,לא ביבי נתניהו,2,-1
129,3,מברך את ראש ה ממשלה ו שר ה בטחון בנימין נתניהו על הובלת ה מבצע,2,1
198,1,אבל ל ה פשע של הוא יש עוד שותפים ב ה מפלגה,2,-1
123,1,ו להמליץ על ראש ה ממשלה בנימין נתניהו להרכיב את ה ממשלה ה באה,2,1
140,0,ממשלת נתניהו נגד ה קשישים ב ה ישראל,2,-1
151,0,ראש ה ממשלה ו שר ה אוצר נפגשו אתמול לדון ב איומי ה קריסה של ה רשות ה פלסטינית נוכח קיזוז כספי ה טרור,2,0
195,18,ב ה ניגוד ל מפלגת ה ליכוד,2,0
153,0,נתניהו מינה ל שרי ביטחון את אהוד ב רק,2,0
170,3,פוחדים מ ממשלה ש אינה נרתעת מ שימוש ב כל אמצעי כדי להשאר ב ה שלטון,2,-1
117,3,ו עכשיו כש גילה ש ל ציבור נמאס מ ה משחקים ה אלה,2,-1
168,1,יש מאחורי ה מערכת ה משומנת של נתניהו הרבה כסף ו הרבה שקרים,2,-1
121,3,מי ש עבר עבירות ש יש עם הן קלון לא צריך לחזור ל ה חיים ה ציבוריים,2,-1
167,33,זה מה ש קורה כש ראש ה ממשלה מכהן יותר מדי שנים ב ה תפקיד ו כבר לא אכפת ל הוא מ אף אחד חוץ מ עצמו,2,-1
147,0,ראש ממשלה עם שלושה כתבי אישום חייב להתייצב בפני בית משפט ו לתת את ה דין על מעשיו,2,-1
202,0,תמו ה ספינים,2,-1
127,14,13 שנה מ נתקים ראש מ משלה מ ה עם ו מ ערכיו,2,-1
141,2,כי ברור ש הפלת נתניהו תביא ל הפלת ה ימין,2,1
